Symbol,Date,Close
INTC,3/17/80,0.325521
INTC,3/18/80,0.322917
INTC,3/19/80,0.330729
INTC,3/20/80,0.329427
INTC,3/21/80,0.317708
INTC,3/24/80,0.311198
INTC,3/25/80,0.3125
INTC,3/26/80,0.309896
INTC,3/27/80,0.299479
INTC,3/28/80,0.311198
INTC,3/31/80,0.321615
INTC,4/1/80,0.322917
INTC,4/2/80,0.325521
INTC,4/3/80,0.31901
INTC,4/7/80,0.311198
INTC,4/8/80,0.3125
INTC,4/9/80,0.30599
INTC,4/10/80,0.304688
INTC,4/11/80,0.304688
INTC,4/14/80,0.307292
INTC,4/15/80,0.303385
INTC,4/16/80,0.291667
INTC,4/17/80,0.286458
INTC,4/18/80,0.290365
INTC,4/21/80,0.28776
INTC,4/22/80,0.300781
INTC,4/23/80,0.31901
INTC,4/24/80,0.320313
INTC,4/25/80,0.315104
INTC,4/28/80,0.3125
INTC,4/29/80,0.315104
INTC,4/30/80,0.31901
INTC,5/1/80,0.320313
INTC,5/2/80,0.325521
INTC,5/5/80,0.329427
INTC,5/6/80,0.328125
INTC,5/7/80,0.328125
INTC,5/8/80,0.324219
INTC,5/9/80,0.328125
INTC,5/12/80,0.326823
INTC,5/13/80,0.333333
INTC,5/14/80,0.338542
INTC,5/15/80,0.341146
INTC,5/16/80,0.345052
INTC,5/19/80,0.346354
INTC,5/20/80,0.342448
INTC,5/21/80,0.334635
INTC,5/22/80,0.330729
INTC,5/23/80,0.342448
INTC,5/27/80,0.341146
INTC,5/28/80,0.348958
INTC,5/29/80,0.348958
INTC,5/30/80,0.354167
INTC,6/2/80,0.355469
INTC,6/3/80,0.346354
INTC,6/4/80,0.351563
INTC,6/5/80,0.351563
INTC,6/6/80,0.348958
INTC,6/9/80,0.346354
INTC,6/10/80,0.35026
INTC,6/11/80,0.354167
INTC,6/12/80,0.348958
INTC,6/13/80,0.348958
INTC,6/16/80,0.348958
INTC,6/17/80,0.347656
INTC,6/18/80,0.345052
INTC,6/19/80,0.338542
INTC,6/20/80,0.339844
INTC,6/23/80,0.339844
INTC,6/24/80,0.339844
INTC,6/25/80,0.34375
INTC,6/26/80,0.34375
INTC,6/27/80,0.345052
INTC,6/30/80,0.342448
INTC,7/1/80,0.347656
INTC,7/2/80,0.35026
INTC,7/3/80,0.352865
INTC,7/7/80,0.365885
INTC,7/8/80,0.373698
INTC,7/9/80,0.373698
INTC,7/10/80,0.378906
INTC,7/11/80,0.377604
INTC,7/14/80,0.38151
INTC,7/15/80,0.393229
INTC,7/16/80,0.39974
INTC,7/17/80,0.408854
INTC,7/18/80,0.419271
INTC,7/21/80,0.419271
INTC,7/22/80,0.414063
INTC,7/23/80,0.410156
INTC,7/24/80,0.407552
INTC,7/25/80,0.403646
INTC,7/28/80,0.407552
INTC,7/29/80,0.425781
INTC,7/30/80,0.438802
INTC,7/31/80,0.441406
INTC,8/1/80,0.434896
INTC,8/4/80,0.441406
INTC,8/5/80,0.44401
INTC,8/6/80,0.440104
INTC,8/7/80,0.445313
INTC,8/8/80,0.451823
INTC,8/11/80,0.480469
INTC,8/12/80,0.481771
INTC,8/13/80,0.472656
INTC,8/14/80,0.472656
INTC,8/15/80,0.466146
INTC,8/18/80,0.453125
INTC,8/19/80,0.446615
INTC,8/20/80,0.455729
INTC,8/21/80,0.460938
INTC,8/22/80,0.463542
INTC,8/25/80,0.463542
INTC,8/26/80,0.463542
INTC,8/27/80,0.46224
INTC,8/28/80,0.458333
INTC,8/29/80,0.455729
INTC,9/2/80,0.46224
INTC,9/3/80,0.476563
INTC,9/4/80,0.480469
INTC,9/5/80,0.477865
INTC,9/8/80,0.464844
INTC,9/9/80,0.466146
INTC,9/10/80,0.460938
INTC,9/11/80,0.463542
INTC,9/12/80,0.46224
INTC,9/15/80,0.457031
INTC,9/16/80,0.470052
INTC,9/17/80,0.490885
INTC,9/18/80,0.492188
INTC,9/19/80,0.496094
INTC,9/22/80,0.488281
INTC,9/23/80,0.470052
INTC,9/24/80,0.464844
INTC,9/25/80,0.459635
INTC,9/26/80,0.453125
INTC,9/29/80,0.454427
INTC,9/30/80,0.463542
INTC,10/1/80,0.46875
INTC,10/2/80,0.467448
INTC,10/3/80,0.483073
INTC,10/6/80,0.513021
INTC,10/7/80,0.514323
INTC,10/8/80,0.503906
INTC,10/9/80,0.502604
INTC,10/10/80,0.497396
INTC,10/13/80,0.5
INTC,10/14/80,0.502604
INTC,10/15/80,0.513021
INTC,10/16/80,0.510417
INTC,10/17/80,0.505208
INTC,10/20/80,0.5
INTC,10/21/80,0.494792
INTC,10/22/80,0.5
INTC,10/23/80,0.489583
INTC,10/24/80,0.479167
INTC,10/27/80,0.453125
INTC,10/28/80,0.466146
INTC,10/29/80,0.476563
INTC,10/30/80,0.427083
INTC,10/31/80,0.4375
INTC,11/3/80,0.4375
INTC,11/5/80,0.46875
INTC,11/6/80,0.440104
INTC,11/7/80,0.447917
INTC,11/10/80,0.445313
INTC,11/11/80,0.453125
INTC,11/12/80,0.46875
INTC,11/13/80,0.479167
INTC,11/14/80,0.5
INTC,11/17/80,0.502604
INTC,11/18/80,0.515625
INTC,11/19/80,0.507813
INTC,11/20/80,0.502604
INTC,11/21/80,0.494792
INTC,11/24/80,0.486979
INTC,11/25/80,0.486979
INTC,11/26/80,0.489583
INTC,11/28/80,0.484375
INTC,12/1/80,0.447917
INTC,12/2/80,0.447917
INTC,12/3/80,0.453125
INTC,12/4/80,0.46224
INTC,12/5/80,0.432292
INTC,12/8/80,0.416667
INTC,12/9/80,0.434896
INTC,12/10/80,0.429688
INTC,12/11/80,0.416667
INTC,12/12/80,0.429688
INTC,12/15/80,0.429688
INTC,12/16/80,0.432292
INTC,12/17/80,0.424479
INTC,12/18/80,0.421875
INTC,12/19/80,0.401042
INTC,12/22/80,0.401042
INTC,12/23/80,0.408854
INTC,12/24/80,0.416667
INTC,12/26/80,0.427083
INTC,12/29/80,0.414063
INTC,12/30/80,0.419271
INTC,12/31/80,0.419271
INTC,1/2/81,0.419271
INTC,1/5/81,0.434896
INTC,1/6/81,0.424479
INTC,1/7/81,0.411458
INTC,1/8/81,0.403646
INTC,1/9/81,0.403646
INTC,1/12/81,0.395833
INTC,1/13/81,0.393229
INTC,1/14/81,0.395833
INTC,1/15/81,0.398438
INTC,1/16/81,0.416667
INTC,1/19/81,0.416667
INTC,1/20/81,0.403646
INTC,1/21/81,0.401042
INTC,1/22/81,0.401042
INTC,1/23/81,0.408854
INTC,1/26/81,0.398438
INTC,1/27/81,0.395833
INTC,1/28/81,0.395833
INTC,1/29/81,0.395833
INTC,1/30/81,0.388021
INTC,2/2/81,0.375
INTC,2/3/81,0.390625
INTC,2/4/81,0.401042
INTC,2/5/81,0.411458
INTC,2/6/81,0.416667
INTC,2/9/81,0.416667
INTC,2/10/81,0.421875
INTC,2/11/81,0.414063
INTC,2/12/81,0.401042
INTC,2/13/81,0.401042
INTC,2/17/81,0.411458
INTC,2/18/81,0.414063
INTC,2/19/81,0.414063
INTC,2/20/81,0.395833
INTC,2/23/81,0.390625
INTC,2/24/81,0.388021
INTC,2/25/81,0.348958
INTC,2/26/81,0.34375
INTC,2/27/81,0.364583
INTC,3/2/81,0.375
INTC,3/3/81,0.367188
INTC,3/4/81,0.361979
INTC,3/5/81,0.351563
INTC,3/6/81,0.351563
INTC,3/9/81,0.351563
INTC,3/10/81,0.356771
INTC,3/11/81,0.341146
INTC,3/12/81,0.359375
INTC,3/13/81,0.364583
INTC,3/16/81,0.367188
INTC,3/17/81,0.351563
INTC,3/18/81,0.356771
INTC,3/19/81,0.354167
INTC,3/20/81,0.364583
INTC,3/23/81,0.367188
INTC,3/24/81,0.369792
INTC,3/25/81,0.385417
INTC,3/26/81,0.380208
INTC,3/27/81,0.380208
INTC,3/30/81,0.380208
INTC,3/31/81,0.377604
INTC,4/1/81,0.380208
INTC,4/2/81,0.382813
INTC,4/3/81,0.377604
INTC,4/6/81,0.375
INTC,4/7/81,0.367188
INTC,4/8/81,0.369792
INTC,4/9/81,0.367188
INTC,4/10/81,0.375
INTC,4/13/81,0.398438
INTC,4/14/81,0.401042
INTC,4/15/81,0.403646
INTC,4/16/81,0.408854
INTC,4/20/81,0.408854
INTC,4/21/81,0.416667
INTC,4/22/81,0.421875
INTC,4/23/81,0.414063
INTC,4/24/81,0.416667
INTC,4/27/81,0.408854
INTC,4/28/81,0.403646
INTC,4/29/81,0.398438
INTC,4/30/81,0.393229
INTC,5/1/81,0.390625
INTC,5/4/81,0.382813
INTC,5/5/81,0.380208
INTC,5/6/81,0.380208
INTC,5/7/81,0.380208
INTC,5/8/81,0.380208
INTC,5/11/81,0.369792
INTC,5/12/81,0.369792
INTC,5/13/81,0.367188
INTC,5/14/81,0.375
INTC,5/15/81,0.377604
INTC,5/18/81,0.377604
INTC,5/19/81,0.372396
INTC,5/20/81,0.388021
INTC,5/21/81,0.390625
INTC,5/22/81,0.393229
INTC,5/26/81,0.40625
INTC,5/27/81,0.427083
INTC,5/28/81,0.432292
INTC,5/29/81,0.427083
INTC,6/1/81,0.419271
INTC,6/2/81,0.403646
INTC,6/3/81,0.395833
INTC,6/4/81,0.388021
INTC,6/5/81,0.385417
INTC,6/8/81,0.380208
INTC,6/9/81,0.377604
INTC,6/10/81,0.375
INTC,6/11/81,0.385417
INTC,6/12/81,0.390625
INTC,6/15/81,0.380208
INTC,6/16/81,0.369792
INTC,6/17/81,0.369792
INTC,6/18/81,0.361979
INTC,6/19/81,0.364583
INTC,6/22/81,0.361979
INTC,6/23/81,0.367188
INTC,6/24/81,0.367188
INTC,6/25/81,0.361979
INTC,6/26/81,0.390625
