<<<<<<< Updated upstream
,,Balanced acc. score,f1-score,geo. mean,0 : Pred 0,1 : Pred 1,0 : Pred 1,1 : Pred 0,
None,N/A,0.988,0.99,0.99,581,18690,11,102,113
Naive Random Oversampling,RandomOverSampler(),0.994,0.99,0.99,55915,55901,329,343,672
SMOTE Oversampling,SMOTE(),0.9945,0.99,0.99,55973,55898,271,346,617
Undersampling,ClusterCentroids(),0.9358,0.94,0.93,1891,1680,17,228,245
Combination (Over/Under)-Sampling,SMOTEEN(),0.9983,1,1,55174,55856,174,11,185
,,,,,,,,,
,,,,,,,,,
,,Balanced acc. score,f1-score,,0 : Pred 0,1 : Pred 1,0 : Pred 1,1 : Pred 0,
Balanced Random Forest Classifier,BalancedRandomForest(),0.787,0.95,,15556,69,1545,35,
Easy Ensemble Classifier,EasyEnsembleClassifier(),0.919,0.97,,16152,93,949,11,
,,,,,,,,,
,,,,,,,0.628029505,2.181818182,
=======
,,Balanced acc. score,f1-score,0 : Pred 0,1 : Pred 1,0 : Pred 1,1 : Pred 0
no sampling,,,,,,,
Naive Random Oversampling,RandomOverSampler(),0.9489,0.95,55958,50778,286,5466
SMOTE Oversampling,SMOTE(),0.9497,0.95,55958,50804,286,5440
Undersampling,ClusterCentroids(),,,,,,
Combination (Over/Under)-Sampling,SMOTEEN(),,,,,,
,,,,,,,
,,,,,,,
,,Balanced acc. score,f1-score,0 : Pred 0,1 : Pred 1,0 : Pred 1,1 : Pred 0
Balanced Random Forest Classifier,BalancedRandomForest(),0.787,0.95,15556,69,1545,35
Easy Ensemble Classifier,EasyEnsembleClassifier(),0.919,0.97,16152,93,949,11
,,,,,,,
,,,,,,0.628029505,2.181818182
>>>>>>> Stashed changes
